Smh îRT @ENewsNow VIDEO : Kat Von D Engaged to Jesse James ? http://eonli.ne/b0b1Fe,"['Von', 'James', 'Jesse', 'Kat', 'Engaged']"
yeah vengoo ! :D,['vengoo']
"Is a little disappointed about fall . I've waited & counted down for my favorite season & one day it'll feel amazing , & the next like summer .","['waited', 'summer', 'amazing', 'disappointed', 'fall', 'season', 'counted', 'favorite', 'little']"
RT @vanessaangelcin : RIP mbah marijan,"['RIP', 'marijan', 'mbah']"
@LightCurls got it -- thanks !,['thanks']
Someone really needs to put Mary Kay out of her misery .,"['misery', 'Mary']"
Free 3pk of Lindt Truffles ( US ) http://nblo.gs/9Iuzw,"['Lindt', 'Free', '3pk', 'Truffles']"
@brittteague You can beat the crap out of me anytime you break something . =D Love you and get well soon .,"['crap', '@brittteague', 'beat']"
@JBieberzLuvies LOL i ranther go see payton rae and MAYBE caitlin beadles XDD,"['caitlin', 'payton', 'beadles', 'rae']"
RT @TurntThaFuccUp #TSU + @KevinHart4real = LIVE AS FUCC << #agreed,"['<<', '#agreed']"
whatz myspace super star doing ??,"['myspace', 'star']"
Bommm Dia !,"['!', 'Bommm']"
I miss my BFF @aljamisonxo .. love you !,"['love', '!', 'miss']"
RT @jaketapper : Fact : Any politician who tells you any major issue can be fixed JUST by stopping waste fraud + abuse is either ignorant ...,"['waste', 'abuse', 'issue', 'politician', 'tells', 'major', 'stopping', 'fraud', 'ignorant', 'fixed']"
dam this guy next to me is looking up some nasty ass shit o__O,"['next', 'ass', 'shit', 'guy', 'looking', 'nasty']"
I liked a YouTube video -- Mini Aqwmv - Welcome to the club http://youtu.be/p4gRKvtYu48?a,"['club', 'Welcome', 'video', 'YouTube']"
@dwright1906 thanks,['thanks']
HAHAHAHA ! @SpankinD http://moby.to/op9mgt,"['!', '@SpankinD']"
@Bieber_BabesXP follow for follow !?,['follow']
@theonlydmdawson would be so proud of me right now :) !,"['proud', 'right']"
"@NYFarmer In fact I had some of that Persian dugh last week . To me , it's the mint that makes it great .","['mint', 'week', 'Persian', 'dugh', 'great']"
I go to class and come back and the game looks like this ... #womp .. im ready for the lakers yo,"['game', 'looks', 'lakers', 'like', 'ready', 'class']"
@SammyAmsterdam I can't join the lobby lol it's full .. me and Domo killing room 1,"['lobby', 'killing', 'join', 'room']"
"I'm at Flight Centre Toronto Head Office ( 1 dundas street west , Yonge street , Toronto ) . http://4sq.com/b3s9KJ","['Office', 'Head', 'Flight', 'street', 'Centre', 'Toronto']"
#Offthysss - 2tO Daa Morniinqqqq,"['Daa', 'Morniinqqqq', '#Offthysss']"
#np Misery =),['Misery']
@olfa_xoxo Hi hi !!! I'm good ... what about you ?,['good']
@LaBraziliana LMAOOO TYPO,['TYPO']
Never realized how very attractive @jameyjasta is . Probably helped that he finally got rid of all that facial hair ;p,"['hair', 'attractive', '@jameyjasta', 'realized', 'rid', 'facial']"
@TakeMeDownCHRIS LMFAO !!! you a fool i swear,"['fool', 'swear', '@TakeMeDownCHRIS']"
#Celtics looking pretty beasty this year I'm predicting a championship run . Ps my nigga @KingJames still the man .,"['#Celtics', 'pretty', 'championship', 'nigga', 'run', 'man', 'predicting']"
RT @Lovefranny #teamgreen !,"['!', '#teamgreen']"
:(((,[':(((']
today has been a great day . Did I tweet about it once ? nope ...,"['today', 'tweet', 'great', 'day']"
"FB "" philip christovale","['philip', 'christovale']"
