Ignite,ignite,ignite,147047,ADJ,advcl,False,0
to,to,to,324862,PART,aux,True,0
Write,write,write,368047,VERB,xcomp,False,0
This,this,this,322217,DET,det,True,0
Photo,Photo,photo,234975,PROPN,nsubj,False,1
Needs,need,need,197910,VERB,ROOT,False,0
a,a,a,0,DET,det,True,0
Title,title,title,324727,NOUN,dobj,False,0
This,this,this,322217,DET,det,True,0
photograph,photograph,photograph,235158,NOUN,nsubj,False,1
certainly,certainly,certainly,51562,ADV,advmod,False,0
needs,need,need,197910,VERB,ROOT,False,0
a,a,a,0,DET,det,True,0
title,title,title,324727,NOUN,dobj,False,0
Can,Can,can,45964,VERB,aux,True,0
give,give,give,125692,VERB,ROOT,True,0
se,se,se,282384,VERB,ROOT,False,0
