'm,be,be,29345,AUX,ROOT,True,0
at,at,at,22372,ADP,prep,True,0
Flight,Flight,flight,114591,PROPN,compound,False,0
Centre,Centre,centre,50952,PROPN,compound,False,0
Toronto,Toronto,toronto,326184,PROPN,compound,False,0
Head,Head,head,134575,PROPN,compound,False,1
Office,Office,office,211603,PROPN,pobj,False,1
dundas,dundas,duenas,93860,PROPN,amod,False,0
street,street,street,306018,PROPN,compound,False,0
west,west,west,364234,PROPN,appos,False,0
Yonge,Yonge,younger,157733,PROPN,compound,False,0
street,street,street,306018,NOUN,conj,False,0
Toronto,Toronto,toronto,326184,PROPN,appos,False,0
