Hey,hey,hey,135346,INTJ,intj,False,0
guys,guy,guy,131001,NOUN,ROOT,False,0
great,great,great,129442,ADJ,amod,False,1
job,job,job,161424,NOUN,appos,False,1
decorating,decorate,decorate,78686,VERB,acl,False,1
the,the,the,320691,DET,det,True,0
balconies,balcony,balcony,26763,NOUN,dobj,False,1
Keep,keep,keep,163579,VERB,ROOT,True,0
up,up,up,354457,ADP,prt,True,0
the,the,the,320691,DET,det,True,0
good,good,good,127869,ADJ,amod,False,0
work,work,work,367468,NOUN,dobj,False,0
Remember,remember,remember,267232,VERB,ROOT,False,0
have,have,have,134390,AUX,ccomp,True,0
a,a,a,0,DET,det,True,1
few,few,few,111900,ADJ,amod,True,0
days,day,day,76257,NOUN,dobj,False,0
left,leave,leave,169747,VERB,acl,False,0
until,until,until,353020,ADP,prep,True,0
