Since,since,since,291358,SCONJ,mark,True,0
the,the,the,320691,DET,det,True,0
US,US,us,355940,PROPN,nsubj,True,0
is,be,be,29345,AUX,aux,True,1
going,go,go,127161,VERB,advcl,False,0
down,down,down,92197,ADP,prep,True,0
the,the,the,320691,DET,det,True,0
tubes,tube,tube,331867,NOUN,pobj,False,1
in,in,in,149313,ADP,prep,True,0
the,the,the,320691,DET,det,True,0
worst,bad,bad,26158,ADJ,amod,False,0
way,way,way,361946,NOUN,pobj,False,0
can,can,can,45964,VERB,aux,True,0
anyone,anyone,anyone,13244,PRON,nsubj,True,0
suggest,suggest,suggest,310240,VERB,ROOT,False,1
a,a,a,0,DET,det,True,0
better,well,well,364011,ADJ,amod,False,0
country,country,country,71230,NOUN,nsubj,False,1
to,to,to,324862,PART,aux,True,0
live,live,live,173931,VERB,ccomp,False,1
in,in,in,149313,ADP,prep,True,0
CAsen,CAsen,casein,48810,PROPN,ROOT,False,0
CAgov,cagov,cagot,44538,ADP,nmod,False,0
CAgov,cagov,cagot,44538,ADP,appos,False,0
Whitman,Whitman,whitman,365229,PROPN,ROOT,False,0
