Daily,daily,daily,76310,ADJ,compound,False,1
Manna,Manna,manna,179394,PROPN,nsubj,False,1
from,from,from,119298,ADP,prep,True,0
the,the,the,320691,DET,det,True,0
Net,net,net,198841,NOUN,pobj,False,1
for,for,for,116301,ADP,prep,True,0
Wednesday,Wednesday,wednesday,363732,PROPN,pobj,False,1
October,October,october,211035,PROPN,appos,False,0
Matthew,Matthew,matthew,181323,PROPN,appos,False,0
At,at,at,22372,ADP,prep,True,0
that,that,that,320639,DET,det,True,0
time,time,time,323746,NOUN,pobj,False,0
the,the,the,320691,DET,det,True,0
disciples,disciple,disciple,87330,NOUN,nsubj,False,1
came,come,come,63721,VERB,ROOT,False,0
to,to,to,324862,ADP,prep,True,0
