A,a,a,0,DET,det,True,0
truly,truly,truly,331555,ADV,advmod,False,0
Innovative,innovative,innovative,153091,ADJ,amod,False,1
way,way,way,361946,NOUN,ROOT,False,0
to,to,to,324862,ADP,prep,True,0
Michael,Michael,michael,185754,PROPN,compound,False,1
Owen,Owen,owen,222032,PROPN,pobj,False,1
Manchester,Manchester,manchester,178929,PROPN,compound,False,0
Uniteds,Uniteds,united,345066,PROPN,compound,False,1
injury,injury,injury,152870,NOUN,nsubj,False,1
plagued,plague,plague,238686,VERB,ROOT,False,0
striker,striker,striker,306314,NOUN,compound,False,0
Michael,Michael,michael,185754,PROPN,compound,False,1
Owen,Owen,owen,222032,PROPN,nsubj,False,1
looks,look,look,175060,VERB,ROOT,False,0
set,set,set,286614,VERB,acomp,False,0
to,to,to,324862,PART,prep,True,0
miss,miss,miss,189987,VERB,pobj,False,0
