Who,who,who,365278,PRON,dobj,True,0
twitter,twitter,twitter,333475,VERB,advmod,False,1
banging,bang,bang,27412,VERB,ROOT,False,0
Since,since,since,291358,SCONJ,mark,True,0
the,the,the,320691,DET,det,True,0
chances,chance,chance,52384,NOUN,nsubj,False,0
of,of,of,211535,ADP,prep,True,0
getting,get,get,124419,VERB,pcomp,False,0
for,for,for,116301,ADP,prep,True,0
real,real,real,261710,ADJ,pobj,False,0
is,be,be,29345,AUX,ROOT,True,0
Me,Me,me,181664,PROPN,compound,True,0
Jada,Jada,ada,3393,PROPN,compound,False,0
Pinkett,Pinkett,pinkest,237102,PROPN,compound,False,1
Smith,Smith,smith,294935,PROPN,ROOT,False,0
Sorry,Sorry,sorry,297653,PROPN,ROOT,False,0
Will,Will,will,365768,PROPN,ROOT,True,0
Just,just,just,162503,ADV,advmod,True,0
a,a,a,0,DET,det,True,0
little,little,little,173876,ADJ,amod,False,0
twit,twit,twit,333452,NOUN,amod,False,0
adultery,adultery,adultery,4517,NOUN,ROOT,False,1
