'm,be,be,29345,AUX,ROOT,True,0
at,at,at,22372,ADP,prep,True,0
Below,below,below,31285,ADP,pobj,True,0
West,West,west,364234,PROPN,compound,False,0
Dekalb,Dekalb,deal,77534,PROPN,compound,False,0
Pk,Pk,pk,238506,PROPN,dep,False,0
Ste,Ste,sate,278673,PROPN,dep,False,0
King,King,king,164870,PROPN,pobj,False,1
of,of,of,211535,ADP,prep,True,0
Prussia,Prussia,prussia,254280,PROPN,compound,False,1
Mall,Mall,mall,178516,PROPN,pobj,False,0
King,King,king,164870,PROPN,appos,False,1
of,of,of,211535,ADP,prep,True,0
Prussia,Prussia,prussia,254280,PROPN,pobj,False,1
