Here,here,here,136991,ADV,advmod,True
are,be,be,29345,AUX,ROOT,True
some,some,some,297029,DET,det,True
press,press,press,249564,NOUN,compound,False
photos,photo,photo,234975,NOUN,nsubj,False
of,of,of,211535,ADP,prep,True
NCT,NCT,unct,338260,PROPN,compound,False
Doyoung,Doyoung,young,157730,PROPN,pobj,False
amp,amp,amp,10991,NOUN,conj,False
Jaehyun,Jaehyun,jaun,160587,PROPN,compound,False
attending,attend,attend,23005,VERB,conj,False
lt;Hope,lt;Hope,thorpe,322458,PROPN,compound,False
Donation,Donation,donation,91387,PROPN,compound,False
Relay,Relay,relay,266706,PROPN,compound,False
Campaign&gt,campaign&gt,campaign,45783,NOUN,conj,False
event,event,event,106111,NOUN,ROOT,False
at,at,at,22372,ADP,prep,True
COEX,COEX,codex,61737,PROPN,pobj,False
