Media,Media,media,181993,PROPN,nsubj,False
covered,cover,cover,71476,VERB,ROOT,False
anti,anti,anti,14685,ADJ,dep,False
lockdown,lockdown,lookdown,175062,ADJ,amod,False
protesters,protester,protester,253507,NOUN,dobj,False
as,as,as,20837,SCONJ,prep,True
rabid,rabid,rabid,259283,NOUN,pobj,False
selfish,selfish,selfish,283538,ADJ,conj,False
a,a,a,0,DET,det,True
threat,threat,threat,322589,NOUN,dobj,False
to,to,to,324862,ADP,prep,True
public,public,public,255902,ADJ,amod,False
safety,safety,safety,276575,NOUN,pobj,False
Not,not,not,208798,PART,neg,True
even,even,even,106079,ADV,advmod,True
close,close,close,60433,ADJ,ROOT,False
to,to,to,324862,ADP,prep,True
the,the,the,320691,DET,det,True
same,same,same,277518,ADJ,amod,True
level,level,level,171192,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
r,r,r,259188,NOUN,pobj,False
