Both,both,both,38714,CCONJ,preconj,True
Aadhaar,Aadhaar,adhaka,3833,PROPN,nsubjpass,False
amp,amp,amp,10991,NOUN,conj,False
Aarogya,Aarogya,anacrogynae,11567,PROPN,compound,False
Setu,Setu,setup,286705,PROPN,nsubjpass,False
are,be,be,29345,AUX,auxpass,True
marketed,market,market,180157,VERB,ROOT,False
to,to,to,324862,ADP,prep,True
population,population,population,243322,NOUN,pobj,False
as,as,as,20837,SCONJ,prep,True
a,a,a,0,DET,det,True
precondition,precondition,precondition,246375,NOUN,pobj,False
for,for,for,116301,ADP,prep,True
citizen,citizen,citizen,58672,NOUN,compound,False
rights,right,right,272806,NOUN,pobj,False
In,in,in,149313,ADP,prep,True
otherwords,otherwords,otherwards,215851,ADV,pobj,False
this,this,this,322217,DET,det,True
pandemic,pandemic,pandemic,224465,NOUN,nsubj,False
is,be,be,29345,AUX,ROOT,True
