Once,once,once,212661,ADV,advmod,True
Trump,Trump,trump,331570,PROPN,nsubj,False
was,be,be,29345,AUX,advcl,True
in,in,in,149313,ADP,prep,True
office,office,office,211603,NOUN,pobj,False
the,the,the,320691,DET,det,True
NRA,NRA,nora,208482,PROPN,nsubj,False
proclaimed,proclaim,proclaim,251253,VERB,ROOT,False
in,in,in,149313,ADP,prep,True
a,a,a,0,DET,det,True
video,video,video,359514,NOUN,pobj,False
that,that,that,320639,DET,nsubj,True
were,be,be,29345,AUX,aux,True
coming,come,come,63721,VERB,ccomp,False
for,for,for,116301,ADP,prep,True
the,the,the,320691,DET,det,True
New,New,new,199367,PROPN,compound,False
York,York,york,157693,PROPN,compound,False
Times,Times,times,323785,PROPN,pobj,False
Snyder,Snyder,sander,277753,PROPN,ROOT,False
June,June,june,162340,PROPN,npadvmod,False
