To,to,to,324862,ADP,ROOT,True
the,the,the,320691,DET,det,True
nurses,nurse,nurse,209705,NOUN,pobj,False
the,the,the,320691,DET,det,True
doctors,doctor,doctor,90646,NOUN,appos,False
the,the,the,320691,DET,det,True
EMTs,emt,emit,98579,NOUN,appos,False
the,the,the,320691,DET,det,True
firefighters,firefighter,firefighter,113158,NOUN,conj,False
the,the,the,320691,DET,det,True
police,police,police,241679,NOUN,compound,False
officers,officer,officer,211608,NOUN,conj,False
the,the,the,320691,DET,det,True
grocery,grocery,grocery,130126,NOUN,compound,False
store,store,store,305385,NOUN,compound,False
workers,worker,worker,367494,NOUN,conj,False
the,the,the,320691,DET,det,True
pharmacists,pharmacist,pharmacist,233113,NOUN,conj,False
and,and,and,12285,CCONJ,cc,True
