Yes,yes,yes,146918,INTJ,intj,False
are,be,be,29345,AUX,ROOT,True
Katholics,katholic,catholic,49722,NOUN,attr,False
are,be,be,29345,AUX,ROOT,True
powerful,powerful,powerful,245007,ADJ,amod,False
fans,fan,fan,109645,NOUN,attr,False
of,of,of,211535,ADP,prep,True
powerful,powerful,powerful,245007,ADJ,amod,False
queen,queen,queen,258246,NOUN,pobj,False
Katrina,Katrina,katrina,163421,PROPN,compound,False
Kaif,Kaif,kaif,162761,PROPN,compound,False
THANKS,THANKS,thanks,320619,PROPN,compound,False
KATRINA,KATRINA,katrina,163421,PROPN,appos,False
FOR,for,for,116301,ADP,prep,True
MOTIVATING,motivating,motivating,193997,NOUN,pobj,False
