Do,do,do,90528,AUX,aux,True
nt,not,not,208798,PART,neg,False
write,write,write,368047,VERB,ROOT,False
on,on,on,212644,ADP,prep,True
Twitter,Twitter,twitter,333475,PROPN,pobj,False
Please,please,please,239622,INTJ,intj,True
go,go,go,127161,VERB,ROOT,True
to,to,to,324862,ADP,prep,True
Parliament,Parliament,parliament,226609,PROPN,pobj,False
and,and,and,12285,CCONJ,cc,True
write,write,write,368047,VERB,conj,False
a,a,a,0,DET,det,True
letter,letter,letter,170920,NOUN,dobj,False
to,to,to,324862,ADP,prep,True
the,the,the,320691,DET,det,True
speaker,speaker,speaker,298691,NOUN,pobj,False
and,and,and,12285,CCONJ,cc,True
all,all,all,8522,DET,det,True
parliamentarians,parliamentarian,parliamentarian,226612,NOUN,conj,False
tell,tell,tell,318356,VERB,conj,False
t,t,t,314735,NOUN,dobj,False
