HappyBirthdayNTR,HappyBirthdayNTR,birthday,34904,PROPN,compound,False
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,M,m,176591,PROPN,nsubj,False
done,do,do,90528,VERB,ROOT,True
M,m,m,176591,NOUN,nsubj,False
do,do,do,90528,AUX,ROOT,True
