Are,be,be,29345,AUX,aux,True
listening,listen,listen,173504,VERB,ROOT,False
to,to,to,324862,ADP,prep,True
Mayday,Mayday,mayday,177765,PROPN,pobj,False
Reply,reply,reply,268301,VERB,ROOT,False
with,with,with,366582,ADP,prep,True
screenshots,screenshot,screeno,281717,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
listening,listen,listen,173504,VERB,pcomp,False
to,to,to,324862,ADP,prep,True
the,the,the,320691,DET,det,True
song,song,song,297195,NOUN,pobj,False
on,on,on,212644,ADP,prep,True
any,any,any,13086,DET,det,True
platform,platform,platform,239346,NOUN,pobj,False
using,use,use,355958,VERB,acl,True
the,the,the,320691,DET,det,True
tags,tag,tag,315231,NOUN,dobj,False
CRUSHxJOY,crushxjoy,crush,74268,NOUN,dep,False
