There,there,there,321216,PRON,expl,True
are,be,be,29345,AUX,ROOT,True
trade,trade,trade,327240,NOUN,compound,False
offs,off,off,211539,NOUN,attr,False
between,between,between,32866,ADP,prep,True
public,public,public,255902,ADJ,amod,False
wellbeing,wellbeing,wellbeing,364020,PROPN,pobj,False
amp,amp,amp,10991,PROPN,conj,False
an,an,an,11448,DET,det,True
individuals,individual,individual,151166,NOUN,compound,False
rights,right,right,272806,NOUN,conj,False
in,in,in,149313,ADP,prep,True
the,the,the,320691,DET,det,True
use,use,use,355958,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
digital,digital,digital,85441,ADJ,amod,False
technology,technology,technology,317687,NOUN,pobj,False
Tonight,tonight,tonight,325593,NOUN,ROOT,False
on,on,on,212644,ADP,prep,True
Consider,consider,consider,66795,VERB,pobj,False
