If,if,if,146980,SCONJ,mark,True
only,only,only,212848,ADV,advmod,True
read,read,read,261551,VERB,advcl,False
the,the,the,320691,DET,det,True
books,book,book,38039,NOUN,dobj,False
that,that,that,320639,DET,dobj,True
everyone,everyone,everyone,106169,PRON,nsubj,True
else,else,else,97787,ADV,advmod,True
is,be,be,29345,AUX,aux,True
reading,reading,reading,261596,NOUN,relcl,False
can,can,can,45964,VERB,aux,True
only,only,only,212848,ADV,advmod,True
think,think,think,321897,VERB,ROOT,False
what,what,what,364447,PRON,dobj,True
everyone,everyone,everyone,106169,PRON,nsubj,True
else,else,else,97787,ADV,advmod,True
is,be,be,29345,AUX,aux,True
thinking,think,think,321897,VERB,ccomp,False
Haruk,Haruk,charuk,53007,PROPN,ROOT,False
