Please,please,please,239622,INTJ,intj,True
read,read,read,261551,VERB,ROOT,False
this,this,this,322217,DET,dobj,True
For,for,for,116301,ADP,prep,True
some,some,some,297029,DET,det,True
time,time,time,323746,NOUN,pobj,False
now,now,now,209199,ADV,advmod,True
've,have,have,134390,AUX,aux,True
been,be,be,29345,AUX,auxpass,True
so,so,so,295959,ADV,advmod,True
frustrated,frustrated,frustrated,119666,ADJ,ROOT,False
with,with,with,366582,ADP,prep,True
the,the,the,320691,DET,det,True
UK,UK,auk,23422,PROPN,compound,False
data,datum,datum,77210,NOUN,pobj,False
on,on,on,212644,ADP,prep,True
employment,employment,employment,98843,NOUN,compound,False
unemployment,unemployment,unemployment,341213,NOUN,compound,False
levels,level,level,171192,NOUN,pobj,False
Not,not,not,208798,PART,ROOT,True
