So,so,so,295959,CCONJ,advmod,True
if,if,if,146980,SCONJ,mark,True
these,these,these,321594,DET,nsubj,True
are,be,be,29345,AUX,advcl,True
the,the,the,320691,DET,det,True
suspected,suspect,suspect,313718,VERB,amod,False
pearl,pearl,pearl,228440,PROPN,compound,False
jam,jam,jam,160231,PROPN,compound,False
tour,tour,tour,326625,NOUN,compound,False
dates,date,date,77165,NOUN,attr,False
what,what,what,364447,PRON,attr,True
are,be,be,29345,AUX,advcl,True
the,the,the,320691,DET,det,True
odds,odd,odd,211197,NOUN,nsubj,False
a,a,a,0,DET,det,True
second,second,second,282753,ADJ,amod,False
toronto,toronto,toronto,326184,PROPN,compound,False
show,show,show,289042,NOUN,nsubj,True
will,will,will,365768,VERB,aux,True
pop,pop,pop,243193,VERB,ROOT,False
up,up,up,354457,ADP,prt,True
'm,be,be,29345,AUX,ROOT,True
kinda,kinda,kindal,164753,ADV,attr,False
