Liberalism,Liberalism,liberalism,171479,PROPN,nsubj,False
is,be,be,29345,AUX,ROOT,True
tantamount,tantamount,tantamount,316245,ADJ,acomp,False
to,to,to,324862,PART,prep,True
child,child,child,54285,NOUN,compound,False
abuse,abuse,abuse,1170,NOUN,pobj,False
Using,use,use,355958,VERB,ROOT,True
children,child,child,54285,NOUN,dobj,False
as,as,as,20837,SCONJ,prep,True
propaganda,propaganda,propaganda,252500,NOUN,compound,False
pieces,piece,piece,236161,NOUN,pobj,False
for,for,for,116301,ADP,prep,True
causes,cause,cause,50043,NOUN,pobj,False
have,have,have,134390,AUX,ccomp,True
no,no,no,200529,DET,det,True
understanding,understanding,understanding,339895,NOUN,dobj,False
of,of,of,211535,ADP,prep,True
