Fighting,fight,fight,112433,VERB,csubj,False
stigma,stigma,stigma,304392,NOUN,ROOT,False
The,the,the,320691,DET,det,True
importance,importance,importance,148875,NOUN,ROOT,False
of,of,of,211535,ADP,prep,True
immunity,immunity,immunity,148128,NOUN,pobj,False
in,in,in,149313,ADP,prep,True
today,today,today,325003,NOUN,poss,False
's,'s,s,275971,PART,case,True
world,world,world,367566,NOUN,pobj,False
In,in,in,149313,ADP,prep,True
alignment,alignment,alignment,8262,NOUN,pobj,False
with,with,with,366582,ADP,prep,True
this,this,this,322217,DET,det,True
framework,framework,framework,118300,NOUN,pobj,False
the,the,the,320691,DET,det,True
Indian,indian,indian,150876,ADJ,amod,False
governm,governm,govern,128373,NOUN,conj,False
