More,more,more,193383,ADV,advmod,True
colourful,colourful,colourful,63415,ADJ,amod,False
activities,activity,activity,3264,NOUN,ROOT,False
current,current,current,75405,ADJ,amod,False
adviser,adviser,adviser,4700,NOUN,appos,False
to,to,to,324862,ADP,prep,True
PPP,PPP,pp,245054,PROPN,compound,False
Chief,Chief,chief,54204,PROPN,compound,False
Minister,Minister,minister,187927,PROPN,pobj,False
of,of,of,211535,ADP,prep,True
Sindh,Sindh,sindhi,291528,PROPN,pobj,False
on,on,on,212644,ADP,prep,True
Law,Law,law,169329,PROPN,pobj,False
Ant,Ant,ant,13975,PROPN,appos,False
