Post,post,post,243900,NOUN,ROOT,False
Taraji,Taraji,tarai,316466,PROPN,compound,False
P.,P.,p,222535,PROPN,compound,False
Henson,Henson,benson,31683,PROPN,appos,False
Tupac,Tupac,stupa,306927,PROPN,compound,False
Amaru,Amaru,aaru,25,PROPN,compound,False
Shakur,Shakur,shaku,287247,PROPN,compound,False
Foundation,Foundation,foundation,117917,PROPN,compound,False
Offering,Offering,offering,211587,PROPN,appos,False
Mental,Mental,mental,183495,PROPN,compound,False
Health,Health,health,134768,PROPN,compound,False
Initiatives,Initiatives,initiatives,152823,PROPN,dobj,False
Amid,amid,amid,10405,ADP,advmod,False
