next,next,next,199504,ADJ,amod,True
highlight,highlight,highlight,139280,NOUN,nsubj,False
for,for,for,116301,ADP,prep,True
LoveIndies,LoveIndies,lovevines,175592,PROPN,pobj,False
is,be,be,29345,AUX,ROOT,True
on,on,on,212644,ADP,prep,True
Dead,Dead,dead,77440,PROPN,pobj,False
in,in,in,149313,ADP,prep,True
Vinland,Vinland,vinland,359950,PROPN,pobj,False
by,by,by,33133,ADP,prep,True
Join,Join,join,161599,PROPN,compound,False
Eirik,Eirik,erik,103686,PROPN,pobj,False
and,and,and,12285,CCONJ,cc,True
viking,vike,ike,147195,VERB,compound,False
family,family,family,109591,NOUN,conj,False
exiled,exile,exile,107219,VERB,advcl,False
on,on,on,212644,ADP,prep,True
a,a,a,0,DET,det,True
faraway,faraway,faraway,109874,NOUN,pobj,False
