When,when,when,364637,ADV,advmod,True
outrage,outrage,outrage,217204,VERB,ROOT,False
over,over,over,218092,ADP,prep,True
injustice,injustice,injustice,152878,NOUN,pobj,False
to,to,to,324862,ADP,prep,True
a,a,a,0,DET,det,True
pregnant,pregnant,pregnant,247726,ADJ,amod,False
elephant,elephant,elephant,97443,NOUN,pobj,False
but,but,but,43550,CCONJ,cc,True
show,show,show,289042,VERB,conj,True
no,no,no,200529,DET,det,True
concerns,concern,concern,65181,NOUN,dobj,False
about,about,about,756,ADP,prep,True
injustice,injustice,injustice,152878,NOUN,pobj,False
to,to,to,324862,ADP,prep,True
a,a,a,0,DET,det,True
jailed,jail,jail,160146,VERB,amod,False
pregnant,pregnant,pregnant,247726,ADJ,amod,False
Muslim,muslim,muslim,196089,ADJ,amod,False
wom,wom,swom,314643,NOUN,pobj,False
