The,the,the,320691,DET,det,True
Breathtaking,Breathtaking,breathtaking,40343,PROPN,compound,False
Walk,walk,walk,362193,NOUN,ROOT,False
Of,of,of,211535,ADP,prep,True
Faith,faith,faith,109359,NOUN,pobj,False
in,in,in,149313,ADP,prep,True
Tianmen,Tianmen,tinmen,324050,PROPN,compound,False
Mountains,Mountains,mountains,194226,PROPN,pobj,False
China,China,china,54539,PROPN,appos,False
By,by,by,33133,ADP,ROOT,True
TY,ty,ety,105155,NOUN,pobj,False
Full,full,full,119933,ADJ,amod,True
vid,vid,avid,24775,NOUN,pobj,False
