Happy,happy,happy,133513,ADJ,amod,False
Birthday,birthday,birthday,34904,NOUN,ROOT,False
to,to,to,324862,ADP,prep,True
a,a,a,0,DET,det,True
streak,streak,streak,305961,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
light,light,light,172003,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
Old,Old,old,212002,PROPN,compound,False
India,India,india,150872,PROPN,pobj,False
Happy,Happy,happy,133513,PROPN,compound,False
India,India,india,150872,PROPN,conj,False
Independent,Independent,independent,150805,PROPN,compound,False
India,India,india,150872,PROPN,conj,False
Secular,Secular,secular,282888,PROPN,compound,False
India,India,india,150872,PROPN,conj,False
Better,Better,better,32830,PROPN,compound,False
India,India,india,150872,PROPN,conj,False
