Speed,speed,speed,299007,VERB,nsubj,False
up,up,up,354457,ADP,prt,True
Jagan,Jagan,jaga,160073,PROPN,compound,False
anna,anna,anna,13459,NOUN,compound,False
Fans,fan,fan,109645,NOUN,dobj,False
mana,mana,mana,178863,PROPN,appos,False
hashtag,hashtag,hasht,134081,PROPN,compound,False
chala,chala,chalah,52056,PROPN,compound,False
slow,slow,slow,294448,PROPN,compound,False
gaa,gaa,gaea,120912,PROPN,compound,False
rts,rts,arts,20784,PROPN,dobj,False
chestunnaru,chestunnaru,chestnut,53949,NOUN,ROOT,False
UniteJaganfans,UniteJaganfans,naganas,196501,PROPN,dobj,False
MadaForestIsSafe,MadaForestIsSafe,adiaphoresis,3890,PROPN,ROOT,False
