But,but,but,43550,CCONJ,cc,True
iss,iss,diss,89383,VERB,ROOT,False
good,good,good,127869,ADJ,amod,False
ol,old,old,212002,ADJ,compound,False
Bozza,Bozza,boza,39315,PROPN,compound,False
innit,innit,inknit,152922,NOUN,dobj,False
wot,wot,wot,367732,NOUN,nsubj,False
got,get,get,124419,VERB,ROOT,False
outta,outta,outstay,217582,PROPN,compound,False
yurup,yurup,yuruk,159707,PROPN,ccomp,False
an,an,an,11448,DET,nsubj,True
stopped,stop,stop,305323,VERB,ROOT,False
all,all,all,8522,DET,det,True
dem,dem,dem,80319,PROPN,amod,False
forrin,forrin,fiorin,113082,PROPN,dobj,False
