Another,another,another,13899,DET,det,True
Long,Long,long,174883,PROPN,compound,False
March,March,march,179889,PROPN,compound,False
rocket,rocket,rocket,273675,NOUN,nsubj,False
turned,turn,turn,332792,VERB,ROOT,False
out,out,out,216108,ADP,prt,True
not,not,not,208798,PART,neg,True
so,so,so,295959,ADV,advmod,True
long,long,long,174883,ADV,advmod,False
China,China,china,54539,PROPN,nmod,False
massive,massive,massive,180810,ADJ,amod,False
Long,Long,long,174883,PROPN,compound,False
March,March,march,179889,PROPN,compound,False
Bs,Bs,bs,41895,PROPN,compound,False
rocket,rocket,rocket,273675,NOUN,nsubj,False
falls,fall,fall,109467,VERB,ROOT,False
out,out,out,216108,SCONJ,prep,True
of,of,of,211535,ADP,prep,True
orbit,orbit,orbit,214049,NOUN,pobj,False
over,over,over,218092,ADP,prep,True
Atla,Atla,atlas,22667,PROPN,pobj,False
