Out,out,out,216108,SCONJ,ROOT,True
of,of,of,211535,ADP,prep,True
view,view,view,359574,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
the,the,the,320691,DET,det,True
neighbors,neighbor,neighbor,198137,NOUN,pobj,False
but,but,but,43550,CCONJ,cc,True
in,in,in,149313,ADP,conj,True
view,view,view,359574,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
the,the,the,320691,DET,det,True
construction,construction,construction,67104,NOUN,pobj,False
across,across,across,3036,ADP,prep,True
the,the,the,320691,DET,det,True
street,street,street,306018,NOUN,pobj,False
