Out,out,out,216108,ADP,prep,True
today,today,today,325003,NOUN,npadvmod,False
pm,pm,pm,240704,NOUN,compound,False
UK,UK,auk,23422,PROPN,compound,False
time,time,time,323746,NOUN,npadvmod,False
latest,late,late,168810,ADJ,amod,False
Trip,Trip,trip,330270,PROPN,compound,False
Tease,Tease,tease,317561,PROPN,compound,False
Clip,Clip,clip,60112,PROPN,compound,False
A,A,a,0,PROPN,det,True
Sensory,Sensory,sensory,285423,PROPN,nmod,False
hypnotic,hypnotic,hypnotic,140734,ADJ,amod,False
overload,overload,overload,220105,NOUN,appos,False
Satin,Satin,satin,278713,PROPN,compound,False
Satisfaction,Satisfaction,satisfaction,278784,PROPN,compound,False
https,https,hts,144605,NOUN,ROOT,False
