So,so,so,295959,ADV,advmod,True
what,what,what,364447,PRON,attr,True
s,s,s,275971,VERB,ROOT,False
community,community,community,64281,NOUN,compound,False
quarantine,quarantine,quarantine,257971,NOUN,attr,False
from,from,from,119298,ADP,prep,True
May,May,may,177739,PROPN,pobj,True
RED,RED,red,263841,PROPN,ROOT,False
modified,modify,modify,191131,VERB,amod,False
ECQ,ECQ,cq,71768,PROPN,appos,False
ECQ,ECQ,cq,71768,PROPN,appos,False
YELLOW,yellow,yellow,146793,NOUN,ROOT,False
GCQ,gcq,cq,71768,NOUN,appos,False
GREEN,GREEN,green,129512,PROPN,ROOT,False
No,no,no,200529,DET,det,True
GCQ,GCQ,cq,71768,PROPN,ROOT,False
Check,check,check,53311,VERB,compound,False
w,w,w,361650,PROPN,dep,False
next,next,next,199504,ADJ,amod,True
pic,pic,pic,235778,NOUN,ROOT,False
