Go,go,go,127161,VERB,ROOT,True
vote,vote,vote,361409,NOUN,dobj,False
in,in,in,149313,ADP,prep,True
poll,poll,poll,242656,NOUN,pobj,False
from,from,from,119298,ADP,prep,True
this,this,this,322217,DET,det,True
morning,morning,morning,193499,NOUN,pobj,False
and,and,and,12285,CCONJ,cc,True
have,have,have,134390,AUX,conj,True
a,a,a,0,DET,det,True
read,read,read,261551,NOUN,dobj,False
of,of,of,211535,ADP,prep,True
artist,artist,artist,20750,NOUN,compound,False
profile,profile,profile,251754,NOUN,pobj,False
from,from,from,119298,ADP,prep,True
yesterday,yesterday,yesterday,146935,NOUN,pobj,False
