National,national,national,197259,ADJ,amod,False
media,medium,medium,182217,NOUN,nsubj,False
should,should,should,288990,VERB,aux,True
focus,focus,focus,115686,VERB,ROOT,False
on,on,on,212644,ADP,prep,True
the,the,the,320691,DET,det,True
ballooning,ballooning,ballooning,27027,NOUN,pobj,False
TrumpDeathToll92,TrumpDeathToll92,trumpet,331576,PROPN,compound,False
K,k,k,162637,NOUN,pobj,False
from,from,from,119298,ADP,prep,True
COVID19,covid19,covid,71525,NOUN,pobj,False
Trump,Trump,trump,331570,PROPN,poss,False
's,'s,s,275971,PART,case,True
stance,stance,stance,302635,NOUN,nsubj,False
against,against,against,5830,ADP,prep,True
mask,mask,mask,180688,NOUN,compound,False
wearing,wear,wear,363540,VERB,pobj,False
is,be,be,29345,AUX,ROOT,True
sure,sure,sure,313361,ADJ,acomp,False
