retweet,retweet,etwee,105245,NOUN,ROOT,False
if,if,if,146980,SCONJ,mark,True
really,really,really,261766,ADV,advmod,True
really,really,really,261766,ADV,advmod,True
really,really,really,261766,ADV,advmod,True
really,really,really,261766,ADV,advmod,True
really,really,really,261766,ADV,advmod,True
really,really,really,261766,ADV,advmod,True
really,really,really,261766,ADV,advmod,True
really,really,really,261766,ADV,advmod,True
really,really,really,261766,ADV,advmod,True
really,really,really,261766,ADV,advmod,True
